District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Cox's Bazar ,21.5640626,92.0282129,1/1/1998,0.0,0.0,288.6723022,293.7024841,,0.0,-5e-10,-0.00018779,101342.1641,25.22024536,0.074383013,0.070291996,-5.364699841,1.232018828,0
Cox's Bazar ,21.5640626,92.0282129,1/2/1998,0.0,0.0,287.1040344,292.4620972,,0.0,-5e-10,-0.000197296,101412.8984,4.067437172,0.0,-22.89083672,-4.83989954,0.96642071,0
Cox's Bazar ,21.5640626,92.0282129,1/3/1998,0.0,0.0,286.4503479,291.8815613,,0.0,-5e-10,-0.000197816,101540.8672,5.54044342,0.005195856,-41.31494141,-4.837521076,0.836220503,0
Cox's Bazar ,21.5640626,92.0282129,1/4/1998,0.0,0.0,286.9979553,291.4770203,,0.0,-5e-10,-0.00015113,101469.3516,6.196327686,0.601441264,-47.45910263,-3.728787422,0.540312886,0
Cox's Bazar ,21.5640626,92.0282129,1/5/1998,0.0,0.0,287.2077332,291.1611938,,0.0,-5e-10,-0.000106079,101376.1016,9.527863503,0.744179785,-43.45323181,-2.042779684,0.609081328,0
Cox's Bazar ,21.5640626,92.0282129,1/6/1998,7.17e-08,0.175984696,286.7055054,291.1183167,,0.0,-5e-10,-0.000130061,101386.5313,15.9711504,0.024471767,-26.66134453,-3.043928385,0.339333624,0
Cox's Bazar ,21.5640626,92.0282129,1/7/1998,0.0,0.0,286.848877,291.2402649,,0.0,-5e-10,-0.000135832,101426.0547,15.73686695,0.03645746,-21.94507599,-3.700161696,0.599028111,0
Cox's Bazar ,21.5640626,92.0282129,1/8/1998,0.0,0.0,286.7830505,290.9134216,,0.0,-5e-10,-0.000130047,101324.5078,13.50305939,0.544924557,-18.98867416,-3.677265167,0.866679668,0
Cox's Bazar ,21.5640626,92.0282129,1/9/1998,0.0,0.0,287.0760803,291.2843018,,0.0,-5e-10,-0.000128523,101148.5859,12.79412174,0.12859425,-24.62910271,-3.966096878,1.12119782,0
Cox's Bazar ,21.5640626,92.0282129,1/10/1998,0.0,0.0,287.2435608,291.5421448,,0.0,-5e-10,-0.000133758,101161.8984,17.33869362,0.132577613,-26.97239113,-4.539111614,0.894101441,0
Cox's Bazar ,21.5640626,92.0282129,1/11/1998,0.0,0.0,286.6022949,290.9287415,,0.0,-5e-10,-0.000127378,101119.1875,7.68032074,0.388395906,-37.59141541,-3.72163105,1.126588106,0
Cox's Bazar ,21.5640626,92.0282129,1/12/1998,0.0,0.0,285.9210815,290.6182556,,0.0,-5e-10,-0.000117626,100941.2266,9.52647686,0.0,-20.71379662,-2.894053459,0.95572573,0
Cox's Bazar ,21.5640626,92.0282129,1/13/1998,0.0,13.75722218,287.2926941,292.3145447,224.936615,0.0,-5e-10,-8.51e-05,100918.9297,24.56777763,0.146351829,10.63153172,-0.879994154,0.446946114,0
Cox's Bazar ,21.5640626,92.0282129,1/14/1998,7.89e-07,58.23793411,289.9815979,293.2312012,212.9789124,7.18e-07,8.92e-07,-5.91e-05,100983.1172,27.65141869,0.696668685,-8.267075539,-0.848298132,0.694533885,0
Cox's Bazar ,21.5640626,92.0282129,1/15/1998,5.74e-07,0.12904866,289.0218811,292.3240051,,9.58e-08,-5e-10,-8.18e-05,100918.3047,17.41094971,0.403149277,-3.890258074,-1.527968049,1.505916238,0
Cox's Bazar ,21.5640626,92.0282129,1/16/1998,0.0,4.241536617,288.533905,293.3978882,,0.0,-5e-10,-7.42e-05,100944.1641,27.7139225,0.117402047,-15.56252766,0.332086742,0.691411018,0
Cox's Bazar ,21.5640626,92.0282129,1/17/1998,0.0,10.93536377,290.5640564,293.9707336,,0.0,-5e-10,-6.56e-05,101133.8984,33.65118027,0.35538581,6.395207882,-0.661127269,0.421427965,0
Cox's Bazar ,21.5640626,92.0282129,1/18/1998,0.000440179,47.95963669,290.2554321,292.5930481,5.859550476,0.000225604,6.18e-05,-6.64e-05,101165.6328,43.29356766,0.923068047,33.7642746,-0.187546372,-1.803846836,0
Cox's Bazar ,21.5640626,92.0282129,1/19/1998,2.21e-05,6.822733402,291.5952759,293.5345764,,1.15e-05,5.77e-06,-7.16e-05,101269.3203,39.68494415,0.601230204,30.13109016,-2.154558897,-0.022326492,0
Cox's Bazar ,21.5640626,92.0282129,1/20/1998,0.0,0.369527191,290.1189575,293.6061096,,2.39e-08,-5e-10,-0.000123795,101304.0391,34.54773331,0.210956693,22.75255013,-3.328089953,0.538986743,0
Cox's Bazar ,21.5640626,92.0282129,1/21/1998,1.65e-05,11.20522022,288.5641785,293.1806946,,4.53e-06,1.3e-06,-0.000160404,101147.6875,36.40735245,0.346203446,20.94796562,-3.620272875,-0.246513829,0
Cox's Bazar ,21.5640626,92.0282129,1/22/1998,9.25e-06,0.768513978,288.2674255,292.8487549,,7.18e-08,-5e-10,-0.00016381,101292.6875,29.39295387,0.1388181,17.16832161,-4.261933804,0.699282467,0
Cox's Bazar ,21.5640626,92.0282129,1/23/1998,0.0,0.0,286.2865906,291.4497986,,0.0,-5e-10,-0.000170286,101287.2266,17.46271515,0.000207275,-16.73511696,-3.559150934,0.95151192,0
Cox's Bazar ,21.5640626,92.0282129,1/24/1998,0.0,0.0,286.9480591,291.8254089,,0.0,-5e-10,-0.000163603,101449.9766,6.81405592,0.011743448,-28.09218407,-3.654585123,0.929287911,0
Cox's Bazar ,21.5640626,92.0282129,1/25/1998,0.0,0.0,287.943512,293.1407776,,0.0,-5e-10,-0.000154129,101508.5703,21.60157204,0.097536095,8.903162956,-3.943740845,0.738896549,0
Cox's Bazar ,21.5640626,92.0282129,1/26/1998,0.0,0.0,287.9263306,293.8010559,,0.0,-5e-10,-0.000163074,101396.8359,36.73141098,0.253575802,24.15521431,-3.98479867,0.74298209,0
Cox's Bazar ,21.5640626,92.0282129,1/27/1998,0.0,0.0,289.4405518,294.4386902,,0.0,-5e-10,-0.000129495,101445.0391,40.43396759,0.075547181,25.11042023,-3.360002518,0.667775154,0
Cox's Bazar ,21.5640626,92.0282129,1/28/1998,0.0,0.199442551,290.9414063,295.0568848,,0.0,-5e-10,-9.78e-05,101572.625,40.57229233,0.021665931,13.22227383,-3.018199921,0.626278818,0
Cox's Bazar ,21.5640626,92.0282129,1/29/1998,0.0,2.986083984,290.6207886,294.6876526,,0.0,-5e-10,-9.39e-05,101583.9766,41.94201279,0.014399868,15.47076893,-2.450136423,0.831942558,0
Cox's Bazar ,21.5640626,92.0282129,1/30/1998,0.0,3.613810301,290.6815796,294.7424011,,0.0,-5e-10,-9.19e-05,101599.5625,40.37438202,0.004174741,0.526139915,-3.274038315,1.27800715,0
Cox's Bazar ,21.5640626,92.0282129,1/31/1998,0.0,0.0,289.9270935,294.3830872,,0.0,-5e-10,-0.000111786,101549.3359,18.44503212,0.004398547,-28.33434486,-4.110545158,1.097647667,0
Cox's Bazar ,21.5640626,92.0282129,2/1/1998,0.0,0.0,289.3676758,294.2123718,,0.0,-5e-10,-0.000128219,101415.4688,14.32493114,0.017111607,-19.50230598,-3.826405287,1.269301415,0
Cox's Bazar ,21.5640626,92.0282129,2/2/1998,0.0,0.0,289.5930786,294.4942322,,0.0,-5e-10,-0.000122,101347.4375,27.70858002,0.0,-4.433800697,-3.378596306,1.193174839,0
Cox's Bazar ,21.5640626,92.0282129,2/3/1998,0.0,0.0,289.6095581,294.8522339,,0.0,-5e-10,-0.000117376,101315.6641,33.64316177,0.001248735,7.06738472,-3.393709183,1.207356334,0
Cox's Bazar ,21.5640626,92.0282129,2/4/1998,0.0,24.98594093,290.418396,295.1803894,115.3726578,0.0,-5e-10,-9.96e-05,101334.5313,41.73257065,0.2657516,19.47513008,-2.932819605,1.387073994,0
Cox's Bazar ,21.5640626,92.0282129,2/5/1998,1.08e-07,15.69317627,289.8739624,294.7052307,90.92987061,8.38e-08,9.63e-08,-0.000112193,101362.8984,30.04052544,0.431225509,-7.978913784,-3.52505517,1.346497536,0
Cox's Bazar ,21.5640626,92.0282129,2/6/1998,0.0,0.0,284.1340942,293.9816589,,0.0,-5e-10,-0.000210897,101330.0625,13.72709751,0.833666503,-22.02635002,-4.242475033,1.035638452,0
Cox's Bazar ,21.5640626,92.0282129,2/7/1998,0.0,0.046915691,284.1239929,292.9729309,,0.0,-5e-10,-0.000164653,101377.0703,33.44248581,0.885907352,17.95304298,-3.548189402,-0.382403731,0
Cox's Bazar ,21.5640626,92.0282129,2/8/1998,0.0,0.087992348,285.6789246,293.6494446,,0.0,-5e-10,-0.000181861,101446.8672,29.21687126,0.077384032,0.516849041,-4.291229725,1.222500444,0
Cox's Bazar ,21.5640626,92.0282129,2/9/1998,0.0,0.0,286.2262878,294.1103821,,0.0,-5e-10,-0.000163296,101481.7422,29.02717781,0.0,-18.90951538,-4.15631628,1.828261852,0
Cox's Bazar ,21.5640626,92.0282129,2/10/1998,0.0,0.0,286.6214294,294.0813599,,0.0,-5e-10,-0.000148165,101465.1797,31.71460724,0.0,-16.59417152,-3.924952507,1.274948359,0
Cox's Bazar ,21.5640626,92.0282129,2/11/1998,0.0,0.0,287.6094055,293.9599609,,0.0,-5e-10,-0.0001,101342.2188,31.6076107,0.0,-13.20730209,-1.781795621,0.900646865,0
Cox's Bazar ,21.5640626,92.0282129,2/12/1998,0.0,0.0,288.3633118,293.7295227,,0.0,-5e-10,-8.19e-05,101278.375,22.50465584,0.011871246,-22.08579445,-1.483429313,1.27368629,0
Cox's Bazar ,21.5640626,92.0282129,2/13/1998,0.0,0.0,288.7545166,293.9991455,,0.0,-5e-10,-7.9e-05,101329.8984,21.87267494,0.292885512,-20.62874413,-1.985787392,1.358176351,0
Cox's Bazar ,21.5640626,92.0282129,2/14/1998,0.0,0.0,289.157135,294.3341675,,0.0,-5e-10,-7.32e-05,101241.8438,17.73357201,0.089350022,-20.90210152,-1.413853645,1.435500741,0
Cox's Bazar ,21.5640626,92.0282129,2/15/1998,0.0,49.98368454,290.4501343,294.9274292,112.9620514,1.2e-08,-5e-10,-6.1e-05,101073.9063,23.30366516,0.493641257,-22.57616234,-0.220042363,1.436912537,0
Cox's Bazar ,21.5640626,92.0282129,2/16/1998,0.0,214.2259979,292.6248474,295.9038391,123.1198959,0.0,-5e-10,-4.36e-05,101089.8516,29.96832085,0.463039607,10.00346661,0.409359306,0.939405263,0
Cox's Bazar ,21.5640626,92.0282129,2/17/1998,3.87e-06,233.3687744,293.434967,296.3742981,197.1348877,3.88e-06,-5e-10,-4.58e-05,101044.6172,32.14477158,0.878802776,19.33433342,1.065851808,0.772863686,0
Cox's Bazar ,21.5640626,92.0282129,2/18/1998,6.45e-07,225.4958038,293.1389465,296.4814758,231.2348633,6.11e-07,1.03e-08,-5.15e-05,100992.2813,29.81287384,0.327933401,19.60950279,1.9567132,0.657871723,0
Cox's Bazar ,21.5640626,92.0282129,2/19/1998,0.000802052,137.1442413,293.4857483,295.6270752,54.10421371,0.000211369,3.12e-05,-4.83e-05,100962.4922,41.22995758,0.809671581,30.474617,2.055109263,0.23636274,0
Cox's Bazar ,21.5640626,92.0282129,2/20/1998,0.000223227,189.2751923,292.8623047,294.6486511,86.17533112,0.000102212,1.18e-05,-6.58e-05,101141.2422,41.37159348,0.593173802,26.04205513,0.089934342,0.113242589,0
Cox's Bazar ,21.5640626,92.0282129,2/21/1998,3.59e-08,157.7185516,292.5269775,295.0027161,230.8107605,0.0,-5e-10,-5.03e-05,101112.0625,37.51072311,0.568181932,20.6639576,-0.70335263,0.054484587,0
Cox's Bazar ,21.5640626,92.0282129,2/22/1998,3.59e-08,37.99810791,292.0321045,295.8992615,253.1916504,0.0,-5e-10,-9.26e-05,101151.125,31.9578476,0.289637148,14.81369877,-1.062927365,0.841311276,0
Cox's Bazar ,21.5640626,92.0282129,2/23/1998,1e-06,2.780761719,291.5975647,296.9406738,,9.94e-07,-5e-10,-0.00010522,101139.2109,33.06463242,0.488241285,21.24466515,-1.556702018,1.104128718,0
Cox's Bazar ,21.5640626,92.0282129,2/24/1998,0.0,0.0,292.0561218,297.0256653,,0.0,-5e-10,-9.62e-05,101157.0547,38.67887115,0.15256308,24.24019051,-1.6449579,1.239911676,0
Cox's Bazar ,21.5640626,92.0282129,2/25/1998,2.51e-07,20.15177345,293.4560547,297.0589905,399.3307495,2.16e-07,-5e-10,-7.52e-05,101019.6953,34.3817482,0.054194074,19.57045364,-0.75820446,1.817053437,73
Cox's Bazar ,21.5640626,92.0282129,2/26/1998,8.03e-06,219.3769073,294.840332,297.6250305,292.6806946,6.41e-06,-5e-10,-5.9e-05,100957.8359,37.53853226,0.422882348,25.14750671,0.414526701,1.1956774,0
Cox's Bazar ,21.5640626,92.0282129,2/27/1998,0.000148722,82.1328125,294.547699,296.8980103,202.9924164,6.04e-05,1.95e-05,-6.56e-05,101085.875,39.62308121,0.528004944,19.00296593,-0.698769033,0.650321066,0
Cox's Bazar ,21.5640626,92.0282129,2/28/1998,1.44e-05,10.30763721,292.0413513,297.1665344,,1.3e-05,5.5e-06,-0.000114583,101108.7109,35.61289597,0.110195756,-14.86625576,-3.389341593,0.978741229,0
Cox's Bazar ,21.5640626,92.0282129,3/1/1998,0.0,1.431416869,288.8800354,296.4165344,,0.0,-5e-10,-0.000153086,101071.75,28.26409912,0.006022412,-15.28018188,-3.542675972,1.52422607,0
Cox's Bazar ,21.5640626,92.0282129,3/2/1998,0.0,7.761515141,289.1855164,296.3843384,,0.0,-5e-10,-0.000142924,101188.6016,27.19433403,0.000645985,-22.60463905,-3.782428503,1.28472364,0
Cox's Bazar ,21.5640626,92.0282129,3/3/1998,0.0,0.0,286.9642334,296.1225586,,0.0,-5e-10,-0.000184265,101223.8125,10.67389202,0.000208547,-40.38187027,-4.022332668,1.26183641,0
Cox's Bazar ,21.5640626,92.0282129,3/4/1998,0.0,5.320983887,289.1806641,296.20047,,0.0,-5e-10,-0.000133459,101083.4688,17.49300194,0.0,-20.10189438,-2.939284086,1.555262685,0
Cox's Bazar ,21.5640626,92.0282129,3/5/1998,0.0,30.59442139,290.7214355,296.9275208,651.8674927,0.0,-5e-10,-0.000101354,100943.6172,34.93652344,0.0,11.26224136,-1.894115448,1.689954758,0
Cox's Bazar ,21.5640626,92.0282129,3/6/1998,0.0,281.123291,292.6181946,297.6339417,676.9567871,0.0,-5e-10,-7.45e-05,100799.5,41.2032814,0.261828005,14.83228016,-1.541805267,2.327865362,3
Cox's Bazar ,21.5640626,92.0282129,3/7/1998,9.37e-05,550.085144,294.4538879,297.4599915,132.2830811,5.77e-05,2.04e-05,-4.49e-05,100663.5625,38.01868057,0.718356907,24.2571106,1.355721116,1.445853353,0
Cox's Bazar ,21.5640626,92.0282129,3/8/1998,0.000111219,59.52284622,291.2235413,295.8549805,10.09017944,7.13e-05,6.24e-06,-0.000113366,100792.3984,27.85907745,0.167769805,-10.0190115,-1.957853437,1.40487051,0
Cox's Bazar ,21.5640626,92.0282129,3/9/1998,0.0,3.12689209,286.0133362,296.4094543,,0.0,-5e-10,-0.000159264,100829.5,23.46391296,0.00042345,-14.24476147,-1.774293304,1.418153644,0
Cox's Bazar ,21.5640626,92.0282129,3/10/1998,0.0,3.20316577,289.54422,297.1218567,,0.0,-5e-10,-0.000112034,100843.3828,30.44054985,0.000208547,2.769122124,-0.270613313,1.386239886,0
Cox's Bazar ,21.5640626,92.0282129,3/11/1998,3.03e-05,166.3601227,292.7559509,297.930542,273.5319519,2.64e-05,4.2e-06,-8.42e-05,100994.7266,36.78782654,0.223772124,19.70173073,0.44414711,0.836455822,0
Cox's Bazar ,21.5640626,92.0282129,3/12/1998,1.76e-06,318.7342834,294.1755676,298.0879822,575.9191895,5.63e-07,-5e-10,-7.26e-05,101013.7891,37.6317215,0.212511897,18.70596504,-0.799954116,1.04750979,61
Cox's Bazar ,21.5640626,92.0282129,3/13/1998,1.52e-05,500.4886169,292.6850281,298.7790222,578.2976074,1.01e-05,1.02e-07,-8.91e-05,100966.4141,44.33156204,0.333824188,29.02617645,-1.587814331,2.190927267,554
Cox's Bazar ,21.5640626,92.0282129,3/14/1998,9.68e-05,629.6426392,295.4039001,298.256958,200.3997345,9.02e-05,3.53e-05,-6.22e-05,100910.2734,44.24000931,0.471397996,20.26566887,-0.601756752,1.777310967,0
Cox's Bazar ,21.5640626,92.0282129,3/15/1998,2.35e-05,50.45298386,292.5023193,298.4616699,145.6113892,2.14e-05,2.72e-06,-0.000113486,101117.1875,34.00037766,0.333520263,-18.30244827,-3.502547979,1.63947475,0
Cox's Bazar ,21.5640626,92.0282129,3/16/1998,0.0,0.0,287.9338684,298.6484985,,0.0,-5e-10,-0.000190379,101189.7188,3.011232138,0.205297336,-35.442173,-4.936954975,1.550920487,0
Cox's Bazar ,21.5640626,92.0282129,3/17/1998,0.0,0.0,289.5257568,299.2664795,,0.0,-5e-10,-0.000168003,101033.9922,16.27085876,0.786840856,-13.40474796,-4.671949387,1.521573663,0
Cox's Bazar ,21.5640626,92.0282129,3/18/1998,0.0,94.08901215,290.8014832,299.6933899,,0.0,-5e-10,-0.00014426,101011.4766,39.49713135,0.621991336,13.96847439,-4.885865212,1.815278053,0
Cox's Bazar ,21.5640626,92.0282129,3/19/1998,0.0,436.9704895,292.1322327,299.2449341,568.7084351,0.0,-5e-10,-0.000110676,100893.0391,39.57804489,0.19641377,17.41992378,-2.656960249,2.490513802,23
Cox's Bazar ,21.5640626,92.0282129,3/20/1998,0.0,565.3677368,293.3371277,299.3007507,452.5762634,0.0,-5e-10,-7.11e-05,100878.875,34.83680344,0.004585476,8.893645287,-1.227201819,2.031615496,0
Cox's Bazar ,21.5640626,92.0282129,3/21/1998,5.27e-06,1262.001587,294.525238,299.2901611,356.1661682,2.37e-06,-5e-10,-5.43e-05,100901.4375,37.10876846,0.06311769,22.63660431,-0.459838122,1.687644601,0
Cox's Bazar ,21.5640626,92.0282129,3/22/1998,1.7e-05,2308.633057,296.510437,299.8718262,213.6295013,1.44e-05,-5e-10,-5.36e-05,100808.4063,40.88550949,0.323641658,23.96222687,3.929520369,0.068067156,1
Cox's Bazar ,21.5640626,92.0282129,3/23/1998,1.9e-06,1769.495117,295.3613892,299.1878052,511.3972168,3.95e-07,-5e-10,-7.27e-05,100881.0078,42.77581406,0.434628367,27.00979805,4.808360577,-0.796062648,33
Cox's Bazar ,21.5640626,92.0282129,3/24/1998,1.25e-05,609.8954468,293.7757568,298.769043,747.7368164,1.17e-05,-5e-10,-0.000122665,100855.4063,31.64898491,0.543315947,12.92293167,4.857115269,-1.101018071,22
Cox's Bazar ,21.5640626,92.0282129,3/25/1998,0.001796425,1099.654175,295.4881287,297.6875,48.7939949,0.000676346,0.000241826,-0.000138531,100843.3203,45.17407227,0.811180353,30.29069328,3.409865379,1.253579855,25
Cox's Bazar ,21.5640626,92.0282129,3/26/1998,0.0,152.1217957,291.2976074,297.763031,658.1653442,0.0,-5e-10,-0.000179266,101032.7813,28.7088623,0.045954585,-22.51354408,-1.830485702,-0.292523474,0
Cox's Bazar ,21.5640626,92.0282129,3/27/1998,0.0,107.9108276,290.0018311,298.2329407,823.9130249,0.0,-5e-10,-0.000209039,101076.0703,33.87532043,0.0,-10.9961195,-3.177436829,0.746490002,0
Cox's Bazar ,21.5640626,92.0282129,3/28/1998,0.0,193.2821045,291.288269,297.973999,520.1140747,0.0,-5e-10,-0.000167126,101027.7422,27.88713837,0.092400014,-10.8220892,-2.143273115,1.036943078,0
Cox's Bazar ,21.5640626,92.0282129,3/29/1998,0.0,842.3023071,292.5891418,298.8993225,671.0770264,0.0,-5e-10,-0.000139326,101055.4688,35.04856491,0.45341149,12.78734875,-1.482391477,1.333043218,7
Cox's Bazar ,21.5640626,92.0282129,3/30/1998,1.01e-05,869.5293579,293.2139893,298.0862732,643.6600342,1.01e-05,1.12e-06,-0.000119523,101161.8047,40.05537033,0.652723312,21.73963928,-1.580549717,-0.373526901,21
Cox's Bazar ,21.5640626,92.0282129,3/31/1998,1.96e-05,2.909830809,291.4589844,297.0828552,,1.17e-05,1.64e-05,-0.000166514,101088.4609,34.43227386,0.103947632,11.84007645,-3.435696602,0.63228941,0
Cox's Bazar ,21.5640626,92.0282129,4/1/1998,0.0,46.12345505,292.8725281,298.1374817,702.1574097,0.0,-5e-10,-0.000170155,101035.9375,33.54561996,0.0,-2.5774014,-3.832264662,1.543220162,0
Cox's Bazar ,21.5640626,92.0282129,4/2/1998,0.0,221.823288,293.4829407,298.5892639,663.5370483,0.0,-5e-10,-0.000131425,100941.7578,36.05934143,0.000653615,-4.669542313,-1.947583556,1.610149026,0
Cox's Bazar ,21.5640626,92.0282129,4/3/1998,0.0,613.7909546,294.1197815,298.4680176,583.2155151,0.0,-5e-10,-0.000101093,100947.3203,33.07275009,0.005597688,-5.75806284,-0.935300052,1.651260495,0
Cox's Bazar ,21.5640626,92.0282129,4/4/1998,0.0,663.9683228,294.1031189,298.974762,607.8935547,0.0,-5e-10,-0.000103518,101014.0938,25.59671211,0.028337503,-9.344492912,-0.516116917,1.693698049,0
Cox's Bazar ,21.5640626,92.0282129,4/5/1998,3.59e-08,666.6200562,293.9491272,298.9129944,559.5117798,0.0,-5e-10,-0.000102288,101111.4688,24.20491982,0.166482911,4.170202255,-0.002343029,1.559048772,1
Cox's Bazar ,21.5640626,92.0282129,4/6/1998,1.49e-05,2359.23877,295.4871826,299.3020935,298.3355103,1.21e-05,-5e-10,-8.15e-05,101017.2734,40.13881302,0.313249946,19.62589455,-0.17561172,1.653249741,42
Cox's Bazar ,21.5640626,92.0282129,4/7/1998,5.01e-05,2241.512939,296.0223694,299.4962463,190.0253448,4.53e-05,6.36e-05,-8e-05,100778.0,45.9570961,0.249736771,28.88213348,0.244220018,0.95309478,0
Cox's Bazar ,21.5640626,92.0282129,4/8/1998,6.2e-06,2057.394287,295.8509827,299.6118469,205.7792511,5.68e-06,1.4e-06,-8.4e-05,100726.2109,42.68435669,0.386725038,26.83742714,0.862335682,0.775451899,15
Cox's Bazar ,21.5640626,92.0282129,4/9/1998,1.08e-07,1906.762695,296.3791809,300.6263123,448.34729,1.08e-07,-5e-10,-8.71e-05,100648.0625,41.45948792,0.535644233,24.04553986,0.204740539,1.18906796,14
Cox's Bazar ,21.5640626,92.0282129,4/10/1998,1.79e-07,1701.829224,296.4210205,301.0913696,578.8660278,0.0,-5e-10,-9.62e-05,100735.9375,37.78712082,0.188729987,21.74998665,2.21873498,0.874786437,16
Cox's Bazar ,21.5640626,92.0282129,4/11/1998,8.25e-07,1602.700684,297.4053345,301.4076843,498.4440613,4.79e-07,-5e-10,-7.92e-05,100770.4688,43.03874588,0.109320246,28.6390667,2.304158688,1.215398908,6
Cox's Bazar ,21.5640626,92.0282129,4/12/1998,1.83e-06,1959.310059,297.9225769,301.4808044,565.7068481,6.95e-07,2.1e-08,-7.58e-05,100506.3125,39.25403976,0.242298409,22.93889046,2.759210587,0.955661595,0
Cox's Bazar ,21.5640626,92.0282129,4/13/1998,8.53e-06,2451.12207,298.4706726,301.8778381,474.2320557,4.71e-06,1.93e-07,-6.74e-05,100509.8359,40.83473206,0.252422452,27.35921669,3.0484097,0.782938302,10
Cox's Bazar ,21.5640626,92.0282129,4/14/1998,7.06e-06,3162.158447,298.6167297,302.113739,277.170929,5.69e-06,1.55e-06,-5.63e-05,100714.0938,44.84788513,0.238236204,32.68670654,1.393665671,1.702681661,7
Cox's Bazar ,21.5640626,92.0282129,4/15/1998,2.21e-05,3355.423096,298.4621277,301.7629395,292.7442627,2.13e-05,4.77e-05,-6.63e-05,100821.7578,48.02249146,0.189268515,31.61359406,-0.672845781,2.499176741,18
Cox's Bazar ,21.5640626,92.0282129,4/16/1998,0.000130759,3354.701416,297.6664429,301.1750183,373.032074,0.000123488,2.41e-05,-9.48e-05,100747.9922,46.65950012,0.384584874,31.74260712,-1.324430347,1.167378545,6
Cox's Bazar ,21.5640626,92.0282129,4/17/1998,0.0,2167.094727,296.1386414,300.8838806,563.7663574,0.0,-5e-10,-0.00010906,100668.7188,36.76897049,0.216660559,21.03490639,-0.507771313,1.772626758,0
Cox's Bazar ,21.5640626,92.0282129,4/18/1998,2.15e-07,1653.857788,296.2284546,301.0414734,383.6442566,1.2e-07,-5e-10,-0.000110449,100692.0859,41.75979233,0.385138035,26.80207825,1.421794295,1.370646596,2
Cox's Bazar ,21.5640626,92.0282129,4/19/1998,4.7e-05,1461.807495,296.6575012,301.3371887,213.5462036,3.2e-05,6.66e-07,-0.000110386,100627.9297,42.07380295,0.276613176,27.49291229,2.407765389,0.741249383,62
Cox's Bazar ,21.5640626,92.0282129,4/20/1998,5.28e-05,1459.408081,296.8925476,301.5732727,200.7335205,3.69e-05,2e-06,-0.00013116,100600.7422,44.21748734,0.336342603,29.0838089,3.052712441,0.350370795,25
Cox's Bazar ,21.5640626,92.0282129,4/21/1998,0.000801514,1721.394531,297.1676941,300.7093811,176.3308105,0.000711977,0.000108797,-0.000146978,100704.8828,45.39464951,0.58108449,27.58279991,5.398996353,0.331226826,15
Cox's Bazar ,21.5640626,92.0282129,4/22/1998,0.002002693,1847.010864,297.0025635,299.1790466,85.24007416,0.001832789,0.000420541,-0.000175558,100714.0234,47.84230042,0.873601854,34.687603,4.484351635,-0.465118378,173
Cox's Bazar ,21.5640626,92.0282129,4/23/1998,0.001773371,1582.273071,296.3075256,298.0063782,75.76599121,0.001428443,0.000404205,-0.000162995,100771.6875,48.90281296,0.980368674,34.23318863,3.913758516,-1.440732122,17
Cox's Bazar ,21.5640626,92.0282129,4/24/1998,0.000597505,1685.531738,296.993988,299.2937012,117.3035812,0.000520327,0.000240176,-0.000147651,100779.4063,49.05514145,0.839160502,31.59403229,3.146330118,-0.121254705,0
Cox's Bazar ,21.5640626,92.0282129,4/25/1998,0.000243376,1507.661133,297.5419006,299.9095459,49.28483582,0.000183424,3.05e-05,-0.000113074,100825.5391,45.27107239,0.492333382,28.7457962,1.731187224,0.054249305,1
Cox's Bazar ,21.5640626,92.0282129,4/26/1998,2.57e-05,1362.667236,297.4387512,300.7847595,193.9755859,2.23e-05,6.29e-07,-0.000133849,100710.0938,40.73491287,0.168579176,20.47195244,-0.0613028,1.226115346,9
Cox's Bazar ,21.5640626,92.0282129,4/27/1998,1.53e-05,1151.01062,297.1256409,300.5441589,245.5442352,1.31e-05,6.82e-07,-0.000130432,100618.9453,40.13203049,0.275889009,24.53363991,-0.442519903,1.229345083,0
Cox's Bazar ,21.5640626,92.0282129,4/28/1998,1.89e-05,1882.199097,297.4684753,300.960907,185.4615631,1.41e-05,9.78e-07,-0.000122762,100642.9375,41.94156647,0.893743753,21.86948204,0.034823049,1.762402415,5
Cox's Bazar ,21.5640626,92.0282129,4/29/1998,0.000108028,2259.241943,297.8565369,301.3613281,121.2906876,9.54e-05,1.27e-05,-0.000124119,100566.8828,44.56119156,0.492022485,31.09407234,1.017810464,1.471457124,67
Cox's Bazar ,21.5640626,92.0282129,4/30/1998,4.29e-05,2442.744385,297.9025879,301.3641052,150.8542175,3.77e-05,2.63e-05,-0.000139982,100590.1484,43.18919754,0.223901197,25.25997734,2.284699917,0.266009122,0
Cox's Bazar ,21.5640626,92.0282129,5/1/1998,6.7e-06,3384.592041,298.1197205,302.0132141,273.1882629,6.12e-06,1.11e-06,-0.000119396,100597.9688,40.49439621,0.298154503,25.78123665,2.033207417,1.096000552,9
Cox's Bazar ,21.5640626,92.0282129,5/2/1998,8.35e-06,2650.247314,297.4757996,301.4790344,418.474762,6.3e-06,2.11e-06,-0.000122779,100749.2266,39.24859238,0.351733089,24.46951294,0.810640395,1.24714148,4
